Package,LibPath,Version,Priority,Built
abind,/usr/local/lib/R/site-library,1.4-5,NA,3.5.1
assertive,/usr/local/lib/R/site-library,0.3-5,NA,3.5.1
assertive.base,/usr/local/lib/R/site-library,0.0-7,NA,3.5.1
assertive.code,/usr/local/lib/R/site-library,0.0-3,NA,3.5.1
assertive.data,/usr/local/lib/R/site-library,0.0-3,NA,3.5.1
assertive.data.uk,/usr/local/lib/R/site-library,0.0-2,NA,3.5.1
assertive.data.us,/usr/local/lib/R/site-library,0.0-2,NA,3.5.1
assertive.datetimes,/usr/local/lib/R/site-library,0.0-2,NA,3.5.1
assertive.files,/usr/local/lib/R/site-library,0.0-2,NA,3.5.1
assertive.matrices,/usr/local/lib/R/site-library,0.0-2,NA,3.5.1
assertive.models,/usr/local/lib/R/site-library,0.0-2,NA,3.5.1
assertive.numbers,/usr/local/lib/R/site-library,0.0-2,NA,3.5.1
assertive.properties,/usr/local/lib/R/site-library,0.0-4,NA,3.5.1
assertive.reflection,/usr/local/lib/R/site-library,0.0-4,NA,3.5.1
assertive.sets,/usr/local/lib/R/site-library,0.0-3,NA,3.5.1
assertive.strings,/usr/local/lib/R/site-library,0.0-3,NA,3.5.1
assertive.types,/usr/local/lib/R/site-library,0.0-3,NA,3.5.1
assertthat,/usr/local/lib/R/site-library,0.2.0,NA,3.5.1
backports,/usr/local/lib/R/site-library,1.1.2,NA,3.5.1
base64enc,/usr/local/lib/R/site-library,0.1-3,NA,3.5.1
BH,/usr/local/lib/R/site-library,1.66.0-1,NA,3.5.1
bindr,/usr/local/lib/R/site-library,0.1.1,NA,3.5.1
bindrcpp,/usr/local/lib/R/site-library,0.2.2,NA,3.5.1
BiocManager,/usr/local/lib/R/site-library,1.30.4,NA,3.5.1
bit,/usr/local/lib/R/site-library,1.1-14,NA,3.5.1
bit64,/usr/local/lib/R/site-library,0.9-7,NA,3.5.1
bitops,/usr/local/lib/R/site-library,1.0-6,NA,3.5.1
blob,/usr/local/lib/R/site-library,1.1.1,NA,3.5.1
bookdown,/usr/local/lib/R/site-library,0.8,NA,3.5.1
brew,/usr/local/lib/R/site-library,1.0-6,NA,3.5.1
broom,/usr/local/lib/R/site-library,0.5.1,NA,3.5.1
callr,/usr/local/lib/R/site-library,3.1.0,NA,3.5.1
car,/usr/local/lib/R/site-library,3.0-2,NA,3.5.1
carData,/usr/local/lib/R/site-library,3.0-2,NA,3.5.1
caTools,/usr/local/lib/R/site-library,1.17.1.1,NA,3.5.1
cellranger,/usr/local/lib/R/site-library,1.1.0,NA,3.5.1
cli,/usr/local/lib/R/site-library,1.0.1,NA,3.5.1
